nodes	nodes2	type
7532	YWHAG	Gene
7531	YWHAE	Gene
898	CCNE1	Gene
23595	ORC3	Gene
896	CCND3	Gene
10744	PTTG2	Gene
2810	SFN	Gene
1869	E2F1	Gene
7027	TFDP1	Gene
7709	ZBTB17	Gene
983	CDK1	Gene
9700	ESPL1	Gene
10393	ANAPC10	Gene
5885	RAD21	Gene
701	BUB1B	Gene
51529	ANAPC11	Gene
5925	RB1	Gene
6502	SKP2	Gene
8454	CUL1	Gene
4088	SMAD3	Gene
4089	SMAD4	Gene
29882	ANAPC2	Gene
7029	TFDP2	Gene
5591	PRKDC	Gene
4085	MAD2L1	Gene
29945	ANAPC4	Gene
4087	SMAD2	Gene
10971	YWHAQ	Gene
11200	CHEK2	Gene
8697	CDC23	Gene
2033	EP300	Gene
2932	GSK3B	Gene
1029	CDKN2A	Gene
1028	CDKN1C	Gene
1027	CDKN1B	Gene
1026	CDKN1A	Gene
1032	CDKN2D	Gene
8900	CCNA1	Gene
1030	CDKN2B	Gene
1031	CDKN2C	Gene
51343	FZR1	Gene
9126	SMC3	Gene
25847	ANAPC13	Gene
7272	TTK	Gene
9088	PKMYT1	Gene
1017	CDK2	Gene
246184	CDC26	Gene
1875	E2F5	Gene
1019	CDK4	Gene
7465	WEE1	Gene
1874	E2F4	Gene
1871	E2F3	Gene
7157	TP53	Gene
1870	E2F2	Gene
4998	ORC1	Gene
4999	ORC2	Gene
9134	CCNE2	Gene
1021	CDK6	Gene
5000	ORC4	Gene
9133	CCNB2	Gene
1022	CDK7	Gene
10459	MAD2L2	Gene
5001	ORC5	Gene
3065	HDAC1	Gene
3066	HDAC2	Gene
902	CCNH	Gene
85417	CCNB3	Gene
842	CASP9	Gene
841	CASP8	Gene
7249	TSC2	Gene
3479	IGF1	Gene
25898	RCHY1	Gene
64393	ZMAT3	Gene
3486	IGFBP3	Gene
50484	RRM2B	Gene
575	ADGRB1	Gene
7161	TP73	Gene
5268	SERPINB5	Gene
56475	RPRM	Gene
8493	PPM1D	Gene
637	BID	Gene
4194	MDM4	Gene
581	BAX	Gene
63970	TP53AIP1	Gene
836	CASP3	Gene
9540	TP53I3	Gene
5366	PMAIP1	Gene
55367	PIDD1	Gene
64326	COP1	Gene
64065	PERP	Gene
9538	EI24	Gene
83667	SESN2	Gene
143686	SESN3	Gene
317	APAF1	Gene
6241	RRM2	Gene
27113	BBC3	Gene
1643	DDB2	Gene
51512	GTSE1	Gene
6477	SIAH1	Gene
3732	CD82	Gene
5728	PTEN	Gene
27244	SESN1	Gene
5054	SERPINE1	Gene
54205	CYCS	Gene
55240	STEAP3	Gene
51246	SHISA5	Gene
900	CCNG1	Gene
7057	THBS1	Gene
901	CCNG2	Gene
843	CASP10	Gene
1147	CHUK	Gene
7706	TRIM25	Gene
9140	ATG12	Gene
9755	TBKBP1	Gene
8772	FADD	Gene
80143	SIKE1	Gene
8737	RIPK1	Gene
5601	MAPK9	Gene
5602	MAPK10	Gene
9636	ISG15	Gene
5600	MAPK11	Gene
4214	MAP3K1	Gene
5603	MAPK13	Gene
3551	IKBKB	Gene
6885	MAP3K7	Gene
26007	TKFC	Gene
55593	OTUD5	Gene
1654	DDX3X	Gene
9641	IKBKE	Gene
4790	NFKB1	Gene
4793	NFKBIB	Gene
4792	NFKBIA	Gene
3661	IRF3	Gene
64135	IFIH1	Gene
8517	IKBKG	Gene
5599	MAPK8	Gene
1432	MAPK14	Gene
6300	MAPK12	Gene
5970	RELA	Gene
8653	DDX3Y	Gene
7189	TRAF6	Gene
7187	TRAF3	Gene
7186	TRAF2	Gene
10010	TANK	Gene
1540	CYLD	Gene
8717	TRADD	Gene
9474	ATG5	Gene
23586	DDX58	Gene
5300	PIN1	Gene
57506	MAVS	Gene
79132	DHX58	Gene
29110	TBK1	Gene
340061	STING1	Gene
64343	AZI2	Gene
79671	NLRX1	Gene
3665	IRF7	Gene
54941	RNF125	Gene
6774	STAT3	Gene
6775	STAT4	Gene
6772	STAT1	Gene
6773	STAT2	Gene
10401	PIAS3	Gene
7297	TYK2	Gene
9655	SOCS5	Gene
8027	STAM	Gene
81848	SPRY4	Gene
3716	JAK1	Gene
207	AKT1	Gene
208	AKT2	Gene
3718	JAK3	Gene
3717	JAK2	Gene
10000	AKT3	Gene
6777	STAT5B	Gene
6776	STAT5A	Gene
6778	STAT6	Gene
161742	SPRED1	Gene
23533	PIK3R5	Gene
3598	IL13RA2	Gene
8554	PIAS1	Gene
8651	SOCS1	Gene
9021	SOCS3	Gene
1442	CSH1	Gene
598	BCL2L1	Gene
51588	PIAS4	Gene
23624	CBLC	Gene
6655	SOS2	Gene
5781	PTPN11	Gene
200734	SPRED2	Gene
8835	SOCS2	Gene
1154	CISH	Gene
5777	PTPN6	Gene
10379	IRF9	Gene
9063	PIAS2	Gene
2885	GRB2	Gene
6654	SOS1	Gene
868	CBLB	Gene
867	CBL	Gene
8503	PIK3R3	Gene
10253	SPRY2	Gene
10252	SPRY1	Gene
10254	STAM2	Gene
122809	SOCS4	Gene
5290	PIK3CA	Gene
5291	PIK3CB	Gene
5292	PIM1	Gene
5293	PIK3CD	Gene
10251	SPRY3	Gene
5294	PIK3CG	Gene
30837	SOCS7	Gene
5295	PIK3R1	Gene
5296	PIK3R2	Gene
3725	JUN	Gene
10818	FRS2	Gene
805	CALM2	Gene
801	CALM1	Gene
5170	PDPK1	Gene
27330	RPS6KA6	Gene
4217	MAP3K5	Gene
9252	RPS6KA5	Gene
673	BRAF	Gene
4215	MAP3K3	Gene
399694	SHC4	Gene
4893	NRAS	Gene
25970	SH2B1	Gene
4794	NFKBIE	Gene
27018	BEX3	Gene
3845	KRAS	Gene
53358	SHC3	Gene
4803	NGF	Gene
51806	CALML5	Gene
627	BDNF	Gene
10019	SH2B3	Gene
1445	CSK	Gene
814	CAMK4	Gene
596	BCL2	Gene
815	CAMK2A	Gene
816	CAMK2B	Gene
817	CAMK2D	Gene
2309	FOXO3	Gene
818	CAMK2G	Gene
8660	IRS2	Gene
6272	SORT1	Gene
810	CALML3	Gene
1398	CRK	Gene
10603	SH2B2	Gene
1399	CRKL	Gene
5335	PLCG1	Gene
5336	PLCG2	Gene
396	ARHGDIA	Gene
808	CALM3	Gene
397	ARHGDIB	Gene
998	CDC42	Gene
5894	RAF1	Gene
6464	SHC1	Gene
8767	RIPK2	Gene
387	RHOA	Gene
572	BAD	Gene
51135		Gene
5580	PRKCD	Gene
9500	MAGED1	Gene
5605	MAP2K2	Gene
5604	MAP2K1	Gene
5609	MAP2K7	Gene
5607	MAP2K5	Gene
6196	RPS6KA2	Gene
2889	RAPGEF1	Gene
6197	RPS6KA3	Gene
5595	MAPK3	Gene
8986	RPS6KA4	Gene
5598	MAPK7	Gene
57498	KIDINS220	Gene
5879	RAC1	Gene
5594	MAPK1	Gene
6195	RPS6KA1	Gene
3265	HRAS	Gene
11108	PRDM4	Gene
9261	MAPKAPK2	Gene
5663	PSEN1	Gene
4909	NTF4	Gene
3656	IRAK2	Gene
4908	NTF3	Gene
3654	IRAK1	Gene
5906	RAP1A	Gene
5908	RAP1B	Gene
11213	IRAK3	Gene
2549	GAB1	Gene
25759	SHC2	Gene
468	ATF4	Gene
3667	IRS1	Gene
10782	ZNF274	Gene
4915	NTRK2	Gene
8471	IRS4	Gene
4914	NTRK1	Gene
163688	CALML6	Gene
4916	NTRK3	Gene
2002	ELK1	Gene
10297	APC2	Gene
51176	LEF1	Gene
2064	ERBB2	Gene
3611	ILK	Gene
8312	AXIN1	Gene
8313	AXIN2	Gene
6932	TCF7	Gene
1495	CTNNA1	Gene
6934	TCF7L2	Gene
1496	CTNNA2	Gene
1499	CTNNB1	Gene
369	ARAF	Gene
83439	TCF7L1	Gene
324	APC	Gene
29119	CTNNA3	Gene
999	CDH1	Gene
5579	PRKCB	Gene
5578	PRKCA	Gene
5915	RARB	Gene
5582	PRKCG	Gene
7039	TGFA	Gene
6257	RXRB	Gene
6258	RXRG	Gene
6256	RXRA	Gene
11186	RASSF1	Gene
83593	RASSF5	Gene
2272	FHIT	Gene
6789	STK4	Gene
55388	MCM10	Gene
51053	GMNN	Gene
84515	MCM8	Gene
81620	CDT1	Gene
130399	ACVR1C	Gene
2657	GDF1	Gene
55997	CFC1	Gene
5046	PCSK6	Gene
5045	FURIN	Gene
7044	LEFTY2	Gene
9350	CER1	Gene
4838	NODAL	Gene
8928	FOXH1	Gene
10589	DRAP1	Gene
199699	DAND5	Gene
6997	TDGF1	Gene
10637	LEFTY1	Gene
4605	MYBL2	Gene
4149	MAX	Gene
7153	TOP2A	Gene
1859	DYRK1A	Gene
5928	RBBP4	Gene
286826	LIN9	Gene
132660	LIN54	Gene
91750	LIN52	Gene
55957	LIN37	Gene
5423	POLB	Gene
328	APEX1	Gene
54936	ADPRHL2	Gene
10038	PARP2	Gene
142	PARP1	Gene
8505	PARG	Gene
10181	RBM5	Gene
5439	POLR2J	Gene
6936	GCFC2	Gene
5725	PTBP1	Gene
9716	AQR	Gene
23279	NUP160	Gene
5431	POLR2B	Gene
7175	TPR	Gene
84321	THOC3	Gene
9877	ZC3H11A	Gene
55706	NDC1	Gene
55749	CCAR1	Gene
9410	SNRNP40	Gene
11338	U2AF2	Gene
4904	YBX1	Gene
1994	ELAVL1	Gene
27238	GPKOW	Gene
55746	NUP133	Gene
29894	CPSF1	Gene
79023	NUP37	Gene
56949	XAB2	Gene
6626	SNRPA	Gene
9984	THOC1	Gene
10450	PPIE	Gene
51729	WBP11	Gene
81929	SEH1L	Gene
10523	CHERP	Gene
55696	RBM22	Gene
51593	SRRT	Gene
10992	SF3B2	Gene
2521	FUS	Gene
10081	PDCD7	Gene
3183	HNRNPC	Gene
10762	NUP50	Gene
8086	AAAS	Gene
23511	NUP188	Gene
988	CDC5L	Gene
4670	HNRNPM	Gene
5434	POLR2E	Gene
10291	SF3A1	Gene
6634	SNRPD3	Gene
24144	TFIP11	Gene
4809	SNU13	Gene
5435	POLR2F	Gene
84271	POLDIP3	Gene
8563	THOC5	Gene
55954	ZMAT5	Gene
84844	PHF5A	Gene
22938	SNW1	Gene
6430	SRSF5	Gene
8106	PABPN1	Gene
1477	CSTF1	Gene
8480	RAE1	Gene
24148	PRPF6	Gene
51340	CRNKL1	Gene
1478	CSTF2	Gene
51213	LUZP4	Gene
10084	PQBP1	Gene
9688	NUP93	Gene
5432	POLR2C	Gene
3191	HNRNPL	Gene
6625	SNRNP70	Gene
8175	SF3A2	Gene
5438	POLR2I	Gene
11100	HNRNPUL1	Gene
26121	PRPF31	Gene
57794	SUGP1	Gene
8896	BUD31	Gene
23658	LSM5	Gene
1993	ELAVL2	Gene
22794	CASC3	Gene
4927	NUP88	Gene
1655	DDX5	Gene
9343	EFTUD2	Gene
1665	DHX15	Gene
3312	HSPA8	Gene
27339	PRPF19	Gene
4928	NUP98	Gene
55110	MAGOHB	Gene
57122	NUP107	Gene
8683	SRSF9	Gene
6428	SRSF3	Gene
9631	NUP155	Gene
23398	PPWD1	Gene
22916	NCBP2	Gene
51639	SF3B6	Gene
23451	SF3B1	Gene
6432	SRSF7	Gene
6429	SRSF4	Gene
10286	BCAS2	Gene
9295	SRSF11	Gene
9129	PRPF3	Gene
25949	SYF2	Gene
51692	CPSF3	Gene
2733	GLE1	Gene
10285	SMNDC1	Gene
348995	NUP43	Gene
11193	WBP4	Gene
84248	FYTTD1	Gene
3181	HNRNPA2B1	Gene
10212	DDX39A	Gene
6431	SRSF6	Gene
11017	SNRNP27	Gene
6631	SNRPC	Gene
9972	NUP153	Gene
65109	UPF3B	Gene
79902	NUP85	Gene
2962	GTF2F1	Gene
57187	THOC2	Gene
6633	SNRPD2	Gene
8189	SYMPK	Gene
6628	SNRPB	Gene
6629	SNRPB2	Gene
10236	HNRNPR	Gene
22826	DNAJC8	Gene
8021	NUP214	Gene
3188	HNRNPH2	Gene
6638	SNRPN	Gene
85313	PPIL4	Gene
79228	THOC6	Gene
6627	SNRPA1	Gene
23225	NUP210	Gene
29107	NXT1	Gene
56259	CTNNBL1	Gene
10250	SRRM1	Gene
84991	RBM17	Gene
84950	PRPF38A	Gene
3178	HNRNPA1	Gene
1660	DHX9	Gene
11097	NUP42	Gene
6426	SRSF1	Gene
6434	TRA2B	Gene
55339	WDR33	Gene
9128	PRPF4	Gene
4686	NCBP1	Gene
51645	PPIL1	Gene
3184	HNRNPD	Gene
53371	NUP54	Gene
85437	ZCRB1	Gene
6636	SNRPF	Gene
9818	NUP58	Gene
9785	DHX38	Gene
9775	EIF4A3	Gene
10907	TXNL4A	Gene
5546	PRCC	Gene
10262	SF3B4	Gene
6637	SNRPG	Gene
23020	SNRNP200	Gene
5433	POLR2D	Gene
81608	FIP1L1	Gene
57721	METTL14	Gene
9879	DDX46	Gene
9589	WTAP	Gene
27316	RBMX	Gene
5440	POLR2K	Gene
79869	CPSF7	Gene
51503	CWC15	Gene
1977	EIF4E	Gene
10283	CWC27	Gene
3192	HNRNPU	Gene
5903	RANBP2	Gene
23165	NUP205	Gene
6396	SEC13	Gene
7307	U2AF1	Gene
26097	CHTOP	Gene
10898	CPSF4	Gene
199746	U2AF1L4	Gene
6427	SRSF2	Gene
79622	SNRNP25	Gene
10482	NXF1	Gene
4116	MAGOH	Gene
129401	NUP35	Gene
57703	CWC22	Gene
80145	THOC7	Gene
23350	U2SURP	Gene
5437	POLR2H	Gene
7884	SLBP	Gene
10569	SLU7	Gene
3190	HNRNPK	Gene
51585	PCF11	Gene
56339	METTL3	Gene
53981	CPSF2	Gene
11051	NUDT21	Gene
6632	SNRPD1	Gene
23524	SRRM2	Gene
5436	POLR2G	Gene
7536	SF1	Gene
51362	CDC40	Gene
154007	SNRNP48	Gene
10713	USP39	Gene
3187	HNRNPH1	Gene
10421	CD2BP2	Gene
8233	ZRSR2	Gene
5093	PCBP1	Gene
3185	HNRNPF	Gene
83443	SF3B5	Gene
220988	HNRNPA3	Gene
5356	PLRG1	Gene
10465	PPIH	Gene
10978	CLP1	Gene
10594	PRPF8	Gene
9416	DDX23	Gene
9092	SART1	Gene
1479	CSTF3	Gene
23283	CSTF2T	Gene
5441	POLR2L	Gene
10949	HNRNPA0	Gene
22827	PUF60	Gene
5430	POLR2A	Gene
6635	SNRPE	Gene
10946	SF3A3	Gene
10189	ALYREF	Gene
11066	SNRNP35	Gene
285755	PPIL6	Gene
55599	RNPC3	Gene
2963	GTF2F2	Gene
10772	SRSF10	Gene
23450	SF3B3	Gene
9883	POM121	Gene
55660	PRPF40A	Gene
5094	PCBP2	Gene
11325	DDX42	Gene
7919	DDX39B	Gene
8449	DHX16	Gene
84324	SARNP	Gene
10921	RNPS1	Gene
23636	NUP62	Gene
53938	PPIL3	Gene
57461	ISY1	Gene
9939	RBM8A	Gene
56001	NXF2	Gene
728343	NXF2B	Gene
100101267	POM121C	Gene
54883	CWC25	Gene
5048	PAFAH1B1	Gene
5689	PSMB1	Gene
672	BRCA1	Gene
5704	PSMC4	Gene
51230	PHF20	Gene
55166	CENPQ	Gene
54908	SPDL1	Gene
5685	PSMA4	Gene
5525	PPP2R5A	Gene
7158	TP53BP1	Gene
3796	KIF2A	Gene
23198	PSME4	Gene
5526	PPP2R5B	Gene
7321	UBE2D1	Gene
54820	NDE1	Gene
23332	CLASP1	Gene
1781	DYNC1I2	Gene
5527	PPP2R5C	Gene
10403	NDC80	Gene
7514	XPO1	Gene
9183	ZW10	Gene
5705	PSMC5	Gene
51720	UIMC1	Gene
8655	DYNLL1	Gene
332	BIRC5	Gene
57060	PCBP4	Gene
10726	NUDC	Gene
5720	PSME1	Gene
63967	CLSPN	Gene
5711	PSMD5	Gene
5714	PSMD8	Gene
79019	CENPM	Gene
5905	RANGAP1	Gene
5706	PSMC6	Gene
5684	PSMA3	Gene
5700	PSMC1	Gene
5693	PSMB5	Gene
5687	PSMA6	Gene
5721	PSME2	Gene
5688	PSMA7	Gene
22919	MAPRE1	Gene
5932	RBBP8	Gene
5716	PSMD10	Gene
2491	CENPI	Gene
80152	CENPT	Gene
5713	PSMD7	Gene
5516	PPP2CB	Gene
29086	BABAM1	Gene
5518	PPP2R1A	Gene
5683	PSMA2	Gene
5709	PSMD3	Gene
5717	PSMD11	Gene
7468	NSD2	Gene
25906	ANAPC15	Gene
5715	PSMD9	Gene
9025	RNF8	Gene
5528	PPP2R5D	Gene
5810	RAD1	Gene
5515	PPP2CA	Gene
1058	CENPA	Gene
10213	PSMD14	Gene
7341	SUMO1	Gene
25936	NSL1	Gene
1063	CENPF	Gene
91687	CENPL	Gene
81930	KIF18A	Gene
11130	ZWINT	Gene
64105	CENPK	Gene
80776	B9D2	Gene
8970	H2BC11	Gene
9491	PSMF1	Gene
5690	PSMB2	Gene
8924	HERC2	Gene
5682	PSMA1	Gene
151648	SGO1	Gene
6249	CLIP1	Gene
10197	PSME3	Gene
55143	CDCA8	Gene
1783	DYNC1LI2	Gene
3364	HUS1	Gene
83990	BRIP1	Gene
5695	PSMB7	Gene
9656	MDC1	Gene
5519	PPP2R1B	Gene
57082	KNL1	Gene
79172	CENPO	Gene
580	BARD1	Gene
1062	CENPE	Gene
84643	KIF2B	Gene
5694	PSMB6	Gene
23421	ITGB3BP	Gene
11004	KIF2C	Gene
5686	PSMA5	Gene
83540	NUF2	Gene
6233	RPS27A	Gene
51143	DYNC1LI1	Gene
1060	CENPC	Gene
255626	H2BC1	Gene
3619	INCENP	Gene
79980	DSN1	Gene
7316	UBC	Gene
144715	RAD9B	Gene
79682	CENPU	Gene
57405	SPC25	Gene
5884	RAD17	Gene
64946	CENPH	Gene
25909	AHCTF1	Gene
5529	PPP2R5E	Gene
143471	PSMA8	Gene
220134	SKA1	Gene
9577	BABAM2	Gene
3017	H2BC5	Gene
8365	H4C8	Gene
1780	DYNC1I1	Gene
5710	PSMD4	Gene
5692	PSMB4	Gene
57551	TAOK1	Gene
11243	PMF1	Gene
5701	PSMC2	Gene
25946	ZNF385A	Gene
147841	SPC24	Gene
84142	ABRAXAS1	Gene
151246	SGO2	Gene
23122	CLASP2	Gene
9861	PSMD6	Gene
11073	TOPBP1	Gene
165918	RNF168	Gene
84126	ATRIP	Gene
7486	WRN	Gene
5702	PSMC3	Gene
119504	ANAPC16	Gene
55839	CENPN	Gene
81565	NDEL1	Gene
79003	MIS12	Gene
8290	H3-4	Gene
7336	UBE2V2	Gene
7324	UBE2E1	Gene
7314	UBB	Gene
83695	RHNO1	Gene
5883	RAD9A	Gene
10524	KAT5	Gene
5707	PSMD1	Gene
55055	ZWILCH	Gene
11065	UBE2C	Gene
5708	PSMD2	Gene
9793	CKAP5	Gene
378708	CENPS	Gene
116028	RMI2	Gene
7334	UBE2N	Gene
6232	RPS27	Gene
80010	RMI1	Gene
9212	AURKB	Gene
55920	RCC2	Gene
8347	H2BC4	Gene
348235	SKA2	Gene
9735	KNTC1	Gene
8349	H2BC21	Gene
8340	H2BC13	Gene
79184	BRCC3	Gene
5719	PSMD13	Gene
5501	PPP1CC	Gene
54821	ERCC6L	Gene
401541	CENPP	Gene
3014	H2AX	Gene
128312	H2BU1	Gene
8364	H4C3	Gene
1778	DYNC1H1	Gene
5718	PSMD12	Gene
8363	H4C11	Gene
121504	H4-16	Gene
85236	H2BC12	Gene
5696	PSMB8	Gene
5699	PSMB10	Gene
7311	UBA52	Gene
122706	PSMB11	Gene
8341	H2BC15	Gene
54145	H2BS1	Gene
5698	PSMB9	Gene
140735	DYNLL2	Gene
554313	H4C15	Gene
8370	H4C14	Gene
8362	H4C12	Gene
8342	H2BC14	Gene
8339	H2BC8	Gene
8344	H2BC6	Gene
8361	H4C6	Gene
8348	H2BC17	Gene
8368	H4C13	Gene
8345	H2BC9	Gene
5691	PSMB3	Gene
8294	H4C9	Gene
3018	H2BC3	Gene
8367	H4C5	Gene
8360	H4C4	Gene
8343	H2BC7	Gene
8346	H2BC10	Gene
8359	H4C1	Gene
8366	H4C2	Gene
9971	NR1H4	Gene
10062	NR1H3	Gene
6095	RORA	Gene
5241	PGR	Gene
2099	ESR1	Gene
3172	HNF4A	Gene
7421	VDR	Gene
5467	PPARD	Gene
7101	NR2E1	Gene
2908	NR3C1	Gene
29959	NRBP1	Gene
2494	NR5A2	Gene
8013	NR4A3	Gene
2103	ESRRB	Gene
7181	NR2C1	Gene
3164	NR4A1	Gene
5469	MED1	Gene
7067	THRA	Gene
9572	NR1D1	Gene
7376	NR1H2	Gene
5914	RARA	Gene
8431	NR0B2	Gene
5468	PPARG	Gene
2516	NR5A1	Gene
2100	ESR2	Gene
9611	NCOR1	Gene
9970	NR1I3	Gene
6097	RORC	Gene
8856	NR1I2	Gene
2649	NR6A1	Gene
29982	NRBF2	Gene
7068	THRB	Gene
4306	NR3C2	Gene
4929	NR4A2	Gene
2063	NR2F6	Gene
3174	HNF4G	Gene
367	AR	Gene
190	NR0B1	Gene
5916	RARG	Gene
2101	ESRRA	Gene
9975	NR1D2	Gene
7025	NR2F1	Gene
7182	NR2C2	Gene
126382	NR2C2AP	Gene
5465	PPARA	Gene
2104	ESRRG	Gene
9612	NCOR2	Gene
6096	RORB	Gene
10002	NR2E3	Gene
4331	MNAT1	Gene
5753	PTK6	Gene
26271	FBXO5	Gene
91768	CABLES1	Gene
28227	PPP2R3B	Gene
7083	TK1	Gene
1876	E2F6	Gene
1163	CKS1B	Gene
7298	TYMS	Gene
6714	SRC	Gene
5520	PPP2R2A	Gene
1719	DHFR	Gene
4067	LYN	Gene
51384	WNT16	Gene
799	CALCR	Gene
6863	TAC1	Gene
6915	TBXA2R	Gene
2696	GIPR	Gene
50865	HEBP1	Gene
846	CASR	Gene
153	ADRB1	Gene
7504	XK	Gene
10911	UTS2	Gene
5733	PTGER3	Gene
23596	OPN3	Gene
10886	NPFFR2	Gene
7478	WNT8A	Gene
9170	LPAR2	Gene
10203	CALCRL	Gene
9340	GLP2R	Gene
51083	GAL	Gene
1815	DRD4	Gene
10681	GNB5	Gene
6343	SCT	Gene
51052	PRLH	Gene
6865	TACR2	Gene
7479	WNT8B	Gene
2782	GNB1	Gene
1906	EDN1	Gene
117	ADCYAP1R1	Gene
27334	P2RY10	Gene
6344	SCTR	Gene
4986	OPRK1	Gene
7481	WNT11	Gene
2778	GNAS	Gene
5744	PTHLH	Gene
4295	MLN	Gene
623	BDKRB1	Gene
11255	HRH3	Gene
4923	NTSR1	Gene
551	AVP	Gene
128674	PROKR2	Gene
5173	PDYN	Gene
5020	OXT	Gene
4935	GPR143	Gene
5956	OPN1LW	Gene
680	BRS3	Gene
3356	HTR2A	Gene
2862	MLNR	Gene
7976	FZD3	Gene
3972	LHB	Gene
64748	PLPPR2	Gene
7472	WNT2	Gene
7434	VIPR2	Gene
1395	CRHR2	Gene
2692	GHRHR	Gene
727	C5	Gene
6019	RLN2	Gene
7473	WNT3	Gene
5539	PPY	Gene
2798	GNRHR	Gene
10874	NMU	Gene
887	CCKBR	Gene
796	CALCA	Gene
11211	FZD10	Gene
2784	GNB3	Gene
4988	OPRM1	Gene
2740	GLP1R	Gene
2916	GRM6	Gene
3274	HRH2	Gene
3827	KNG1	Gene
7474	WNT5A	Gene
59345	GNB4	Gene
7433	VIPR1	Gene
5443	POMC	Gene
2641	GCG	Gene
6869	TACR1	Gene
7475	WNT6	Gene
84634	KISS1R	Gene
4985	OPRD1	Gene
1889	ECE1	Gene
8643	PTCH2	Gene
163404	PLPPR5	Gene
9890	PLPPR4	Gene
1268	CNR1	Gene
2691	GHRH	Gene
8111	GPR68	Gene
2834	PRLHR	Gene
1394	CRHR1	Gene
2853	GPR31	Gene
148	ADRA1A	Gene
50836	TAS2R8	Gene
50839	TAS2R10	Gene
3375	IAPP	Gene
50837	TAS2R7	Gene
50835	TAS2R9	Gene
3061	HCRTR1	Gene
9034	CCRL2	Gene
2693	GHSR	Gene
94233	OPN4	Gene
5737	PTGFR	Gene
4852	NPY	Gene
10268	RAMP3	Gene
976	ADGRE5	Gene
57486	NLN	Gene
4159	MC3R	Gene
1908	EDN3	Gene
2914	GRM4	Gene
221391	OPN5	Gene
7471	WNT1	Gene
2841	GPR18	Gene
5732	PTGER2	Gene
4987	OPRL1	Gene
2832	NPBWR2	Gene
718	C3	Gene
2797	GNRH2	Gene
8698	S1PR4	Gene
2925	GRPR	Gene
2867	FFAR2	Gene
2864	FFAR1	Gene
554	AVPR2	Gene
1907	EDN2	Gene
50831	TAS2R3	Gene
50832	TAS2R4	Gene
54429	TAS2R5	Gene
30817	ADGRE2	Gene
9002	F2RL3	Gene
51764	GNG13	Gene
2791	GNG11	Gene
2792	GNGT1	Gene
79924	ADM2	Gene
135	ADORA2A	Gene
2847	MCHR1	Gene
8484	GALR3	Gene
50833	TAS2R16	Gene
6608	SMO	Gene
611	OPN1SW	Gene
51554	ACKR4	Gene
79948	PLPPR3	Gene
5697	PYY	Gene
84658	ADGRE3	Gene
10266	RAMP2	Gene
2488	FSHB	Gene
10267	RAMP1	Gene
6754	SSTR4	Gene
56923	NMUR2	Gene
1131	CHRM3	Gene
122042	RXFP2	Gene
4922	NTS	Gene
7252	TSHB	Gene
7482	WNT2B	Gene
2922	GRP	Gene
59340	HRH4	Gene
4544	MTNR1B	Gene
187	APLNR	Gene
27202	C5AR2	Gene
301	ANXA1	Gene
3351	HTR1B	Gene
1081	CGA	Gene
9038	TAAR5	Gene
4829	NMBR	Gene
183	AGT	Gene
9290	GPR55	Gene
3357	HTR2B	Gene
80326	WNT10A	Gene
1910	EDNRB	Gene
9568	GABBR2	Gene
3062	HCRTR2	Gene
3973	LHCGR	Gene
50846	DHH	Gene
8620	NPFF	Gene
10161	LPAR6	Gene
6751	SSTR1	Gene
8477	GPR65	Gene
116	ADCYAP1	Gene
351	APP	Gene
113091	PTH2	Gene
84432	PROK1	Gene
7483	WNT9A	Gene
2840	GPR17	Gene
5746	PTH2R	Gene
57007	ACKR3	Gene
185	AGTR1	Gene
90226	UCN2	Gene
9718	ECE2	Gene
1393	CRHBP	Gene
9287	TAAR2	Gene
319100	TAAR6	Gene
83551	TAAR8	Gene
134864	TAAR1	Gene
7432	VIP	Gene
2846	LPAR4	Gene
3358	HTR2C	Gene
2796	GNRH1	Gene
1392	CRH	Gene
54886	PLPPR1	Gene
5995	RGR	Gene
3363	HTR7	Gene
64106	NPFFR1	Gene
133	ADM	Gene
1813	DRD2	Gene
170589	GPHA2	Gene
150	ADRA2A	Gene
1814	DRD3	Gene
1909	EDNRA	Gene
84539	MCHR2	Gene
57105	CYSLTR2	Gene
5741	PTH	Gene
2911	GRM1	Gene
89780	WNT3A	Gene
7476	WNT7A	Gene
8324	FZD7	Gene
6750	SST	Gene
51738	GHRL	Gene
3361	HTR5A	Gene
8321	FZD1	Gene
3362	HTR6	Gene
7484	WNT9B	Gene
2695	GIP	Gene
5739	PTGIR	Gene
5745	PTH1R	Gene
5731	PTGER1	Gene
3060	HCRT	Gene
6755	SSTR5	Gene
2785	GNG3	Gene
54361	WNT4	Gene
165140	OXER1	Gene
7855	FZD5	Gene
886	CCKAR	Gene
60675	PROK2	Gene
134	ADORA1	Gene
3549	IHH	Gene
7349	UCN	Gene
6010	RHO	Gene
2912	GRM2	Gene
4886	NPY1R	Gene
4889	NPY5R	Gene
2151	F2RL2	Gene
2150	F2RL1	Gene
3360	HTR4	Gene
6469	SHH	Gene
2852	GPER1	Gene
8323	FZD6	Gene
7253	TSHR	Gene
27199	OXGR1	Gene
552	AVPR1A	Gene
2587	GALR1	Gene
4160	MC4R	Gene
6866	TAC3	Gene
2793	GNGT2	Gene
94235	GNG8	Gene
5368	PNOC	Gene
5729	PTGDR	Gene
2786	GNG4	Gene
624	BDKRB2	Gene
4543	MTNR1A	Gene
1128	CHRM1	Gene
3354	HTR1E	Gene
2915	GRM5	Gene
23620	NTSR2	Gene
154	ADRB2	Gene
